toshiba_power,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,1600,550,525,550,525,550,1600,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_channel_up,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_channel_down,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_volume_up,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,1600,550,525,550,1600,550,1600,550,525,550,525,550,525,550,1600,550,525,550,1600,550,525,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_volume_down,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,525,550,525,550,525,550,1600,550,525,550,525,550,525,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_prev,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_mute,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,525,550,525,550,525,550,1600,550,525,550,525,550,525,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_enter,38739,8725,4375,550,550,550,600,500,575,525,550,600,525,550,550,525,1650,500,550,600,1575,550,1625,550,1625,550,1625,525,1625,575,1600,550,550,550,1625,550,1625,575,525,550,550,550,1625,500,600,550,550,575,525,550,1625,525,575,550,1600,550,1625,550,550,550,1625,600,1575,550,1625,500,600,550,39025,8725,2175,550,93225
toshiba_0,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
toshiba_1,38739,8550,4300,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,525,550,1600,550,1600,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,525,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,1600,550,38275,8550,2150,550,91825
